date,Market Cap
2013-01-31,19868.841
2013-02-28,19637.948
2013-03-29,18848.807
2013-04-30,19484.17
2013-05-31,18977.628
2013-06-28,18142.952
2013-07-31,18935.247
2013-08-30,18644.646
2013-09-30,19956.953
2013-10-31,20675.656
2013-11-29,20683.594
2013-12-31,20891.106
2014-01-31,19989.8
2014-02-28,20878.412
2014-03-31,21060.069
2014-04-30,21260.194
2014-05-30,21584.769
2014-06-30,22022.241
2014-07-31,21767.387
2014-08-29,21859.678
2014-09-30,20920.234
2014-10-31,20686.889
2014-11-28,20792.751
2014-12-31,20148.956
2015-01-30,20137.0
2015-03-31,20904.204
2015-04-30,21936.656
2015-05-29,21596.471
2015-06-30,21061.857
2015-07-31,20927.401
2015-08-31,19352.866
2015-09-30,18550.288
2015-10-30,19879.321
2015-11-30,19522.498
2015-12-31,19226.625
2016-01-29,17886.56
2016-02-29,17639.129
2016-03-31,19098.832
2016-04-29,19538.067
2016-05-31,19144.461
2016-06-30,18838.202
2016-07-29,19782.383
2016-08-31,19802.479
2016-09-30,20098.562
2016-10-31,19741.02
2016-11-30,19265.968
2016-12-30,19780.747
2017-01-31,20473.605
2017-02-28,20851.402
2017-03-31,21356.624
2017-04-28,21781.17
2017-05-31,22317.947
2017-06-30,22271.699
2017-07-31,23056.597
2017-08-31,23120.952
2017-09-29,23711.345
2017-10-31,24150.151
2017-11-30,24351.924
2017-12-29,25022.107
2018-01-31,26346.204
2018-02-28,25086.513
2018-03-30,24838.129
2018-04-30,25137.377
2018-05-31,24471.377
2018-06-29,24134.257
2018-07-31,24637.194
2018-08-31,24099.318
2018-09-28,24205.829
2018-10-31,22090.263
2018-11-30,22250.386
2018-12-31,21226.26
2019-01-31,22783.955
2019-02-28,23189.088
2019-03-29,23315.381
2019-04-30,23825.053
2019-05-31,22480.285
2019-06-28,23889.344
2019-07-31,23570.617
2019-08-30,22798.051
2019-09-30,23547.228
2019-10-31,24378.346
2019-11-29,24591.817
2019-12-31,25734.56
2020-01-31,24996.509
2020-02-28,22955.022
2020-03-31,19522.099
