date,Market Cap
2020-03-31,24998.887
2019-12-31,31780.092
2019-09-30,29401.43
2019-06-28,29290.038
2019-03-29,28331.596
2018-12-31,25089.028
2018-09-28,29653.118
2018-06-29,27900.058
2018-03-29,27139.04
2017-12-29,27452.976
2017-09-29,25999.436
2017-06-30,25089.806
2017-03-31,24541.947
2016-12-30,23417.755
2016-09-30,22681.113
2016-06-30,21954.755
2016-03-31,21619.135
2015-12-31,21728.756
2015-09-30,20729.567
2015-06-30,22589.334
2015-03-31,22791.306
2014-12-31,22589.901
2014-09-30,21603.629
2014-06-30,21754.118
2014-03-31,20841.552
2013-12-31,20490.353
2013-09-30,18717.768
2013-06-28,17758.412
2013-03-28,17365.598
2012-12-31,15758.775
2012-09-28,15550.575
2012-06-29,14909.819
2012-03-30,15480.583
