date,Market Cap
2013-01-31,19868841
2013-02-28,19637948
2013-03-29,18848807
2013-04-30,19484170
2013-05-31,18977628
2013-06-28,18142952
2013-07-31,18935247
2013-08-30,18644646
2013-09-30,19956953
2013-10-31,20675656
2013-11-29,20683594
2013-12-31,20891106
2014-01-31,19989800
2014-02-28,20878412
2014-03-31,21060069
2014-04-30,21260194
2014-05-30,21584769
2014-06-30,22022241
2014-07-31,21767387
2014-08-29,21859678
2014-09-30,20920234
2014-10-31,20686889
2014-11-28,20792751
2014-12-31,20148956
2015-01-30,20137000
2015-03-31,20904204
2015-04-30,21936656
2015-05-29,21596471
2015-06-30,21061857
2015-07-31,20927401
2015-08-31,19352866
2015-09-30,18550288
2015-10-30,19879321
2015-11-30,19522498
2015-12-31,19226625
2016-01-29,17886560
2016-02-29,17639129
2016-03-31,19098832
2016-04-29,19538067
2016-05-31,19144461
2016-06-30,18838202
2016-07-29,19782383
2016-08-31,19802479
2016-09-30,20098562
2016-10-31,19741020
2016-11-30,19265968
2016-12-30,19780747
2017-01-31,20473605
2017-02-28,20851402
2017-03-31,21356624
2017-04-28,21781170
2017-05-31,22317947
2017-06-30,22271699
2017-07-31,23056597
2017-08-31,23120952
2017-09-29,23711345
2017-10-31,24150151
2017-11-30,24351924
2017-12-29,25022107
2018-01-31,26346204
2018-02-28,25086513
2018-03-30,24838129
2018-04-30,25137377
2018-05-31,24471377
2018-06-29,24134257
2018-07-31,24637194
2018-08-31,24099318
2018-09-28,24205829
2018-10-31,22090263
2018-11-30,22250386
2018-12-31,21226260
2019-01-31,22783955
2019-02-28,23189088
2019-03-29,23315381
2019-04-30,23825053
2019-05-31,22480285
2019-06-28,23889344
2019-07-31,23570617
2019-08-30,22798051
2019-09-30,23547228
2019-10-31,24378346
2019-11-29,24591817
2019-12-31,25734560
2020-01-31,24996509
2020-02-28,22955022
2020-03-31,19522099
